gene_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_546|Tc00.1047053508269.30,0,0,4,0,1,2
MSTRG.552|Tc00.1047053508269.30,0,0,5,18,3,28
MSTRG.177|PDXK,4,9,8,4,4,19
TrSC58v2_176|PDXK,0,0,1,0,0,18
MSTRG.179|TRSC58_00923,2,10,23,22,11,60
TrSC58v2_178|TRSC58_00923,0,10,19,18,11,50
MSTRG.181|vps41,9,4,14,29,21,63
TrSC58v2_180|vps41,6,3,9,26,17,51
MSTRG.182|ZK795.3,4,8,5,14,9,36
TrSC58v2_181|ZK795.3,3,6,1,1,8,31
MSTRG.184|ZK795.3,1,1,1,3,2,6
